年月日,平均気温(℃),平年平均気温(℃),降水量の合計(mm),平年降水量の合計(mm),日照時間(時間),平年日照時間(時間),最深積雪(cm),平年最深積雪(cm),平均風速(m/s),平年平均風速(m/s),地点名,地域,地点id
2019/9/18,19.8,19.1,0.0,4.4,3.3,5.4,,,4.3,,松前,渡島,1
2019/9/19,16.7,19.0,0.5,4.4,3.8,5.4,,,8.8,,松前,渡島,1
2019/9/20,17.1,18.8,0.0,4.5,9.2,5.4,,,6.0,,松前,渡島,1
2019/9/21,17.1,18.6,0.0,4.5,7.9,5.4,,,2.5,,松前,渡島,1
2019/9/22,18.5,18.4,0.0,4.5,2.3,5.4,,,2.6,,松前,渡島,1
2019/9/23,18.5,18.2,81.5,4.6,0.0,5.4,,,7.1,,松前,渡島,1
2019/9/24,18.2,18.1,0.5,4.6,8.7,5.4,,,5.2,,松前,渡島,1
2019/9/25,16.7,17.9,0.0,4.6,7.5,5.4,,,5.2,,松前,渡島,1
2019/9/26,18.4,17.7,0.0,4.7,11.6,5.4,,,3.8,,松前,渡島,1
2019/9/27,19.6,17.5,0.0,4.7,4.2,5.4,,,4.3,,松前,渡島,1
2019/9/28,19.1,17.3,0.0,4.7,5.7,5.4,,,1.9,,松前,渡島,1
2019/9/29,19.3,17.2,14.0,4.6,0.6,5.4,,,3.9,,松前,渡島,1
2019/9/30,19.5,17.0,0.0,4.6,3.4,5.4,,,3.3,,松前,渡島,1
2019/10/1,19.0,16.8,0.0,4.5,7.4,5.3,,,2.8,,松前,渡島,1
2019/10/2,19.7,16.6,0.0,4.5,9.6,5.3,,,3.0,,松前,渡島,1
2019/10/3,21.4,16.4,0.0,4.4,1.1,5.3,,,3.5,,松前,渡島,1
2019/10/4,20.2,16.3,19.0,4.3,0.6,5.2,,,2.9,,松前,渡島,1
2019/10/5,17.0,16.1,0.0,4.1,4.7,5.2,,,5.2,,松前,渡島,1
2019/10/6,14.4,15.9,0.0,4.0,10.7,5.2,,,2.3,,松前,渡島,1
2019/10/7,16.9,15.7,0.0,3.9,0.9,5.1,,,3.5,,松前,渡島,1
2019/10/8,16.4,15.6,10.0,3.9,0.0,5.1,,,5.4,,松前,渡島,1
2019/10/9,14.8,15.4,1.0,3.8,5.1,5.1,,,10.0,,松前,渡島,1
2019/10/10,17.0,15.2,0.0,3.8,8.1,5.1,,,3.0,,松前,渡島,1
2019/10/11,18.2,15.0,0.0,3.8,1.1,5.1,,,1.9,,松前,渡島,1
2019/10/12,15.4,14.8,12.0,3.8,0.0,5.1,,,3.4,,松前,渡島,1
2019/10/13,13.3,14.6,28.0,3.8,9.0,5.0,,,3.7,,松前,渡島,1
2019/10/14,13.5,14.4,0.0,3.8,6.3,5.0,,,3.5,,松前,渡島,1
2019/10/15,10.2,14.2,0.0,3.9,10.2,5.0,,,4.3,,松前,渡島,1
